,uuid,entity_def_id,deleted_at
0,66f483b2-f3e8-4c7d-94d8-34dbf63f93f9,organization,2017-12-22 01:01:38+00:00
1,bc3b48c3-9299-4635-a690-9e9bf9d8451b,job,2017-12-22 02:01:50+00:00
2,52f8d052-c304-7b42-ce9d-8888ae831019,job,2017-12-22 02:40:18+00:00
3,638dbfaf-a834-c9e5-314d-3e0e5298b29a,job,2017-12-22 03:22:49+00:00
4,7601843e-6b25-e858-ba0b-3449a5e969a8,job,2017-12-22 03:26:07+00:00
5,2a89d451-329b-46ec-9d5e-6261c5b5e9b6,event_appearance,2017-12-22 03:47:51+00:00
6,c2efdd76-ada8-4c9c-aa0c-db2f5556dc9f,investment,2017-12-22 03:48:02+00:00
7,d3ab138c-06e9-4779-8bda-ab5e004f0ebd,investment,2017-12-22 03:58:36+00:00
8,3265079b-17d1-4e75-854c-2aede0200a87,event_appearance,2017-12-22 04:22:18+00:00
9,56ebf4bd-ca29-4255-89db-673d760b1462,funding_round,2017-12-22 05:20:17+00:00
10,7ff0737b-aa8c-49be-8247-9159d1af088e,investment,2017-12-22 05:20:17+00:00
11,a78b8bdb-c093-40b6-8a01-1261773ed81b,press_reference,2017-12-22 05:20:17+00:00
12,fc62a77f-6568-41b8-8dbd-a0ce7fe965d2,organization,2017-12-22 05:23:35+00:00
13,27f76e78-331f-4d32-a6b6-c8375d733467,organization,2017-12-22 05:31:22+00:00
14,2faf8f39-81a0-43b7-b77d-4bf476ba4681,press_reference,2017-12-22 05:32:15+00:00
15,8176beaa-6b3a-4375-8133-8f2fa61011a1,funding_round,2017-12-22 05:32:15+00:00
16,d7b281a6-bb95-4345-b671-b5208af4ed3d,ownership,2017-12-22 05:33:08+00:00
17,d5d4e3d7-7a6d-4dcb-89df-83dd503ef52b,job,2017-12-22 05:43:01+00:00
18,80b2e2ee-aa71-4c33-aa35-b91002d63aa6,press_reference,2017-12-22 05:50:45+00:00
19,d39b9298-dbea-4020-b435-c80aada21d72,organization,2017-12-22 05:58:08+00:00
20,c8bc6163-5528-c577-255d-ab7a548ec8e2,organization,2017-12-22 05:59:13+00:00
21,6ae6d2cb-68ac-4a5a-aa5f-25d1097c827b,acquisition,2017-12-22 06:02:52+00:00
22,f1d2a0d6-bc8b-48e1-b7b5-9c2267ef13a0,press_reference,2017-12-22 06:02:52+00:00
23,7bfbdc0e-4886-58e2-84ab-a2e2514b1683,organization,2017-12-22 06:03:39+00:00
24,6351644d-72b2-454f-952b-657df36e0761,funding_round,2017-12-22 06:04:50+00:00
25,b7e6eb1b-4539-4128-8801-da0229d19e1a,press_reference,2017-12-22 06:04:50+00:00
26,94d7fa11-8791-47ad-a655-15569b5fecd3,organization,2017-12-22 06:05:15+00:00
27,850d8dba-f856-468e-b429-36ade85034f6,organization,2017-12-22 06:06:34+00:00
28,76523604-43ec-1bac-3daf-e4a36f756bb8,organization,2017-12-22 06:07:53+00:00
29,2c53b0c0-1b46-4e6d-a7a6-822ecbc40166,organization,2017-12-22 06:09:00+00:00
30,85d1b1ef-13f6-7e7b-58f3-e59ab07605d6,organization,2017-12-22 06:11:16+00:00
31,8d87a1e5-a2b8-d6f9-3d91-5dacfe264190,investment,2017-12-22 06:12:36+00:00
32,d4503a1f-e4c0-5c8d-56ef-3169b2865c4d,job,2017-12-22 06:12:36+00:00
33,dd0e1a78-e6ee-4ae4-ab70-c4db8011433e,acquisition,2017-12-22 06:14:30+00:00
34,0beb3e5b-35ba-9867-2769-7eccec3d37ae,job,2017-12-22 06:16:09+00:00
35,4bb7aea1-2995-68b7-1050-671fa254a777,press_reference,2017-12-22 06:20:54+00:00
36,c430ec8c-923c-4e59-b3e2-405b7591cd05,acquisition,2017-12-22 06:27:23+00:00
37,432f9403-4c49-437a-8f22-94d41b79f539,job,2017-12-22 06:27:38+00:00
38,1a3f82b2-1417-48a0-8e3b-5f35177ceee9,acquisition,2017-12-22 06:41:20+00:00
39,9b27fdb2-8406-4651-acc6-e013d74dba6a,ownership,2017-12-22 06:47:36+00:00
40,769af64a-bae8-28b5-ef6d-365181535fb9,investment,2017-12-22 07:46:02+00:00
41,de9746e3-f739-415e-a0c4-be97a8803cfd,job,2017-12-22 08:04:53+00:00
42,fee53b36-5d48-483f-bda3-f6205f5f0f62,person,2017-12-22 08:04:53+00:00
43,6d58cb15-3adc-8b39-6ac5-89b1281edea1,acquisition,2017-12-22 08:17:30+00:00
44,4854c9f6-c430-4f87-b05e-559b22743521,acquisition,2017-12-22 08:21:34+00:00
45,5297ff49-1db9-4b95-9b4b-1f62c5dca6e6,press_reference,2017-12-22 08:21:34+00:00
46,c6edebbf-1e9e-4a71-95d8-7fded75ef8c5,organization,2017-12-22 08:21:34+00:00
47,328b81ad-23b1-4afe-b67f-7562dfcdd78d,job,2017-12-22 08:57:26+00:00
48,f3c19056-8820-4417-a6dd-4f0e3c9d8f69,job,2017-12-22 08:59:52+00:00
49,2671eb43-38bc-45cf-9df6-3f7f1b3171e8,job,2017-12-22 09:00:51+00:00
50,78926a90-1ef2-461d-be2d-e832afdb79f8,event_appearance,2017-12-22 09:19:16+00:00
51,dfe1b132-1abb-4c3c-9d05-a4ac3b4307b7,job,2017-12-22 09:53:15+00:00
52,98ddf55b-6fd3-4405-bab6-7ef7b63edf0a,job,2017-12-22 10:08:36+00:00
53,5d2c7dca-135e-45d3-8524-71e1068ec5cb,event_appearance,2017-12-22 10:16:09+00:00
54,09610db5-4704-65fa-0945-50ef2a03bac2,job,2017-12-22 10:46:51+00:00
55,e85f77f6-2fa1-3b41-662d-62bbaf2c7117,investment,2017-12-22 10:46:51+00:00
56,3d4a50d2-ba09-5af4-4c40-cbe67036975c,job,2017-12-22 10:49:39+00:00
57,5825a2ed-2dae-1424-c0be-acae57386d6d,investment,2017-12-22 10:49:39+00:00
58,8c32d4ba-584f-4f5f-b606-b2903590d93f,investment,2017-12-22 10:50:46+00:00
59,2b8efcd3-355b-b0e6-6f8b-8f1eecf5ec0a,job,2017-12-22 10:51:32+00:00
60,0f009835-7f5e-431c-b31d-a9ee69781386,event_appearance,2017-12-22 11:00:19+00:00
61,13220721-360f-4e0c-9c4e-c2e9c657d815,event,2017-12-22 11:00:19+00:00
62,634d065a-c45c-4b4b-a726-beacc49861a8,event,2017-12-22 11:50:49+00:00
63,5d7c8259-2867-4868-8a63-16f381752aec,event_appearance,2017-12-22 12:08:24+00:00
64,2cfb4180-dfbf-4c3c-4aec-33156695df8e,investment,2017-12-22 12:09:24+00:00
65,bf8e6f6f-1401-5db2-2ea0-9c22322411b9,event,2017-12-22 12:17:36+00:00
66,2aea4498-f25b-1095-b2f9-48fa70631f92,event,2017-12-22 12:18:06+00:00
67,c7302722-7bde-0912-7257-aea1de624643,press_reference,2017-12-22 12:18:39+00:00
68,3bc2e7e7-a2c6-1db9-37a3-f9e593249add,event,2017-12-22 12:19:02+00:00
69,4cd36d64-7a78-4be9-bba1-0dcbce738c3b,event,2017-12-22 12:22:36+00:00
70,c733f0b8-eedb-4700-b30b-e828003c8933,event,2017-12-22 12:24:42+00:00
71,2a1ff341-744f-4134-8935-738414340f71,press_reference,2017-12-22 12:28:09+00:00
72,964b957f-8641-b716-5a38-c9d3d6c1306d,press_reference,2017-12-22 12:40:29+00:00
73,d612a0bc-3eda-0448-fac9-2b86a72d8566,press_reference,2017-12-22 12:43:35+00:00
74,93c85609-99c3-1f76-5894-cc49ec692724,job,2017-12-22 12:49:28+00:00
75,801714b8-fc1d-4d74-a51a-81475c331365,event_appearance,2017-12-22 13:56:14+00:00
76,e155e83c-6f6a-4e8d-9022-0dd3729ccdb5,event_appearance,2017-12-22 14:01:52+00:00
77,54b230c6-fb2e-4098-8b4e-08b978abbf5d,event_appearance,2017-12-22 14:03:37+00:00
78,0b6e605d-bc3e-4b4c-a6e8-bef43ce417e3,event_appearance,2017-12-22 14:04:08+00:00
79,a31a385c-2d12-4ad6-9c57-51e5d267d40e,event_appearance,2017-12-22 14:05:54+00:00
80,346a203c-c590-44ff-b3cf-925581a063e7,event_appearance,2017-12-22 14:10:42+00:00
81,f805344a-16de-4144-bd4f-a56f9b8b5364,event_appearance,2017-12-22 14:12:14+00:00
82,3c777e94-dcf0-b1da-35f3-e53fc61304e5,job,2017-12-22 14:28:42+00:00
83,304bb4d7-7e86-7970-3642-514db97e226a,press_reference,2017-12-22 14:57:54+00:00
84,33ea588f-2b95-4930-9d52-547dfe417765,press_reference,2017-12-22 15:00:36+00:00
85,e5f66852-4229-0058-b5af-20955f8a8362,job,2017-12-22 15:00:36+00:00
